OBJECTID,TYPE,MATERIAL,WIDTH,LIMITS,TYPE2,NAME,ENTITY_TRA,TYPE_3,PAVED,MILEAGE,Shape__Length
47,Designated,Asphalt,0, ,Asphalt Trail,Delaware River Trail,DRWC,Trail,Y,0.54596445,1147.55516922112
48,Designated,Asphalt,0, ,Bridge,Schuylkill River Park Connector Bridge,PPR SRDC,Trail Connection, ,0.14014217,294.392442688126
49,Designated,Asphalt,0, ,Dirt Trail,Centennial Loop,PPR,Trail,Y,0.05117617,107.746748594986
50,Designated,Asphalt,0, ,Parking Lot,Manayunk Canal Towpath/Lock St to Shawmont,PPR,Trail Connection,Y,0.01887792,39.6832122839365
51,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.01077193,22.6026201913859
52,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.01239097,25.9995012056046
53,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.00990661,20.8185034765584
54,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.01470747,30.8584299281438
55,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.02042308,42.8766651256016
56,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.00609031,12.7760949481824
57,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.00499727,10.5089614711834
58,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.0050019,10.5300631059134
59,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.00467106,9.80051621042509
60,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.01028833,21.6668649077683
61,Designated,Asphalt,0, ,Road Crossing,Boxer's Trail,PPR,Trail Connection,Y,0.02412469,50.7674765888495
